datetime,location_id,pickup_demand,dropoff_demand
2023-05-01 06:30:00,132,52.0,17.0
2023-05-01 06:30:00,138,2.0,19.0
2023-05-01 06:30:00,142,6.0,11.0
2023-05-01 06:30:00,161,18.0,33.0
2023-05-01 06:30:00,162,22.0,15.0
2023-05-01 06:30:00,170,15.0,13.0
2023-05-01 06:30:00,186,49.0,11.0
2023-05-01 06:30:00,230,8.0,19.0
2023-05-01 06:30:00,236,16.0,11.0
2023-05-01 06:30:00,237,12.0,10.0
2023-05-01 06:45:00,132,52.0,24.0
2023-05-01 06:45:00,138,2.0,18.0
2023-05-01 06:45:00,142,16.0,6.0
2023-05-01 06:45:00,161,9.0,47.0
2023-05-01 06:45:00,162,17.0,20.0
2023-05-01 06:45:00,170,21.0,16.0
2023-05-01 06:45:00,186,37.0,22.0
2023-05-01 06:45:00,230,14.0,25.0
2023-05-01 06:45:00,236,30.0,23.0
2023-05-01 06:45:00,237,18.0,15.0
2023-05-01 07:00:00,132,59.0,16.0
2023-05-01 07:00:00,138,9.0,30.0
2023-05-01 07:00:00,142,15.0,12.0
2023-05-01 07:00:00,161,15.0,54.0
2023-05-01 07:00:00,162,34.0,28.0
2023-05-01 07:00:00,170,14.0,19.0
2023-05-01 07:00:00,186,60.0,11.0
2023-05-01 07:00:00,230,12.0,24.0
2023-05-01 07:00:00,236,52.0,32.0
2023-05-01 07:00:00,237,21.0,17.0
2023-05-01 07:15:00,132,59.0,13.0
2023-05-01 07:15:00,138,8.0,23.0
2023-05-01 07:15:00,142,25.0,16.0
2023-05-01 07:15:00,161,16.0,76.0
2023-05-01 07:15:00,162,34.0,43.0
2023-05-01 07:15:00,170,22.0,18.0
2023-05-01 07:15:00,186,66.0,7.0
2023-05-01 07:15:00,230,10.0,31.0
2023-05-01 07:15:00,236,51.0,27.0
2023-05-01 07:15:00,237,24.0,19.0
2023-05-01 07:30:00,132,61.0,15.0
2023-05-01 07:30:00,138,9.0,21.0
2023-05-01 07:30:00,142,40.0,16.0
